enotita$user$ap
-1$Διεύθυνση Εξυπηρέτησης του Πολίτη$16
-1$Διεύθυνση Κοινωνικής Μέριμνας$18
-1$Διεύθυνση Κτηνιατρικής$95
-1$Διεύθυνση Κτηνιατρικής (ΠΚΜ)$3254
-1$Διεύθυνση Λαϊκών Αγορών$6298
-1$Διεύθυνση Οικονομικού$349
-1$Διεύθυνση Οικονομικού (ΠΚΜ)$11331
-1$Διεύθυνση Περιβάλλοντος και Χωρικού Σχεδιασμού$114
-1$Διεύθυνση Περιβάλλοντος, Βιομηχανίας, Ενέργειας και Φυσικών Πόρων (ΠΚΜ)$1894
-1$Διεύθυνση Πολιτικής Γης$5250
-1$Διεύθυνση Στρατηγικού Σχεδιασμού & Προγραμματισμού ΠΚΜ$2127
-1$Διεύθυνση Τεχνικών Έργων (ΠΚΜ)$8110
-1$Διεύθυνση Τεχνικών Έργων (ΠΚΜ) (Παλιό)$225
-1$Διεύθυνση Τεχνικών Έργων Περιφερειακών Ενοτήτων$812
-1$Διεύθυνση Τουρισμού (ΠΚΜ)$816
-1$Ειδική Επιτροπή Αξιολόγησης$4
-1$Εκτελεστική Επιτροπή$68
-1$Επιτροπή Λαϊκών Αγορών Μ.Ε.Θ.$83
-1$Μητροπολιτική Επιτροπή$380
-1$Νομική Υπηρεσία$2832
-1$Οικονομική Επιτροπή$3472
-1$Περιφερειακή Επιτροπή Διαβούλευσης$1
-1$Περιφερειακό Συμβούλιο$1146
-1$Τμήμα Εργαστηρίου, Ελέγχων και Έρευνας (ΠΚΜ)$57
-1$Τμήμα Χωρικού Σχεδιασμού ΠΚΜ$1920
-1$Υπηρεσιακό Συμβούλιο$1148
0$Γραφείο Αντιπεριφερειάρχη Π.Ε. Ημαθίας$2119
0$Διεύθυνση Ανάπτυξης Π.Ε. Ημαθίας$78
0$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Π.Ε. Ημαθίας$3581
0$Διεύθυνση Διοικητικού-Οικονομικού Π.Ε. Ημαθίας$129
0$Διεύθυνση Μεταφορών και Επικοινωνιών Π.Ε. Ημαθίας$22072
0$Διεύθυνση Τεχνικών Έργων Π.Ε. Ημαθίας$76
0$Υποδιεύθυνση Οικονομικού – Ανθρώπινων Πόρων Π.Ε. Ημαθίας$4401
0$Υποδιεύθυνση Τεχνικών Έργων Π.Ε. Ημαθίας$2482
1$Διεύθυνση Αγροτικής Οικονομίας και Αλιείας Μ.Ε. Θεσσαλονίκης$2265
1$Διεύθυνση Αγροτικής Οικονομίας και Κτηνιατρικής Π.Ε. Θεσσαλονίκης$154
1$Διεύθυνση Ανάπτυξης Π.Ε. Θεσσαλονίκης$132
1$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Μ.Ε. Θεσσαλονίκης$11193
1$Διεύθυνση Δημόσιας Υγείας & Κοινωνικής Μέριμνας Μ.Ε. Θεσσαλονίκης$28784
1$Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας M.Ε. Θεσσαλονίκης (Παλιό)$224
1$Διεύθυνση Κτηνιατρικής Μ.Ε. Θεσσαλονίκης$10041
1$Διεύθυνση Μεταφορών και Επικοινωνιών Ανατ. Θεσσαλονίκης$57194
1$Διεύθυνση Μεταφορών και Επικοινωνιών Δυτ. Θεσσαλονίκης$96859
1$Διεύθυνση Τεχνικών Έργων Μ.Ε. Θεσσαλονίκης$391
1$Υποδιεύθυνση Τεχνικών Έργων Μ.Ε. Θεσσαλονίκης$15724
2$Γραφείο Αντιπεριφερειάρχη Π.Ε. Κιλκίς$1202
2$Διεύθυνση Ανάπτυξης Π.Ε. Κιλκίς$58
2$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Π.Ε. Κιλκίς$2741
2$Διεύθυνση Δημόσιας Υγείας & Κοινωνικής Μέριμνας Π.Ε. Κιλκίς$2610
2$Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας Π.Ε. Κιλκίς (Παλιό)$167
2$Διεύθυνση Διοικητικού-Οικονομικού Π.Ε. Κιλκίς$110
2$Διεύθυνση Μεταφορών και Επικοινωνιών Π.Ε. Κιλκίς$17829
2$Διεύθυνση Τεχνικών Έργων Π.Ε. Κιλκίς$84
2$Υποδιεύθυνση Οικονομικού – Ανθρώπινων Πόρων Π.Ε. Κιλκίς$3920
2$Υποδιεύθυνση Τεχνικών Έργων Π.Ε. Κιλκίς$2344
3$Γραφείο Αντιπεριφερειάρχη Π.Ε.Πέλλας$735
3$Διεύθυνση Ανάπτυξης Π.Ε. Πέλλας$42
3$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Π.Ε. Πέλλας$2789
3$Διεύθυνση Δημόσιας Υγείας & Κοινωνικής Μέριμνας Π.Ε. Πέλλας$2641
3$Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας Π.Ε. Πέλλας (Παλιό)$96
3$Διεύθυνση Διοικητικού-Οικονομικού Π.Ε. Πέλλας$132
3$Διεύθυνση Μεταφορών και Επικοινωνιών Π.Ε. Πέλλας$18981
3$Διεύθυνση Τεχνικών Έργων Π.Ε. Πέλλας$89
3$Υποδιεύθυνση Οικονομικού – Ανθρώπινων Πόρων Π.Ε. Πέλλας$3883
3$Υποδιεύθυνση Τεχνικών Έργων Π.Ε. Πέλλας$4096
4$Γραφείο Αντιπεριφερειάρχη Π.Ε.Πιερίας$2849
4$Διεύθυνση Ανάπτυξης Π.Ε. Πιερίας$39
4$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Π.Ε. Πιερίας$2764
4$Διεύθυνση Διοικητικού-Οικονομικού Π.Ε. Πιερίας$88
4$Διεύθυνση Μεταφορών και Επικοινωνιών Π.Ε. Πιερίας $17466
4$Διεύθυνση Τεχνικών Έργων Π.Ε. Πιερίας$55
4$Υποδιεύθυνση Οικονομικού – Ανθρώπινων Πόρων Π.Ε. Πιερίας$3697
4$Υποδιεύθυνση Τεχνικών Έργων Π.Ε. Πιερίας$2261
5$Γραφείο Αντιπεριφερειάρχη Π.Ε. Σερρών$1338
5$Διεύθυνση Ανάπτυξης Π.Ε. Σερρών$100
5$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Π.Ε. Σερρών$5226
5$Διεύθυνση Διοικητικού-Οικονομικού Π.Ε. Σερρών$237
5$Διεύθυνση Μεταφορών και Επικοινωνιών Π.Ε. Σερρών$19854
5$Διεύθυνση Τεχνικών Έργων Π.Ε. Σερρών$173
5$Υποδιεύθυνση Οικονομικού – Ανθρώπινων Πόρων Π.Ε. Σερρών$4901
5$Υποδιεύθυνση Τεχνικών Έργων Π.Ε. Σερρών$4743
6$Διεύθυνση Ανάπτυξης Π.Ε. Χαλκιδικής$23
6$Διεύθυνση Ανάπτυξης και Περιβάλλοντος Π.Ε. Χαλκιδικής$3998
6$Διεύθυνση Διοικητικού-Οικονομικού Π.Ε. Χαλκιδικής$109
6$Διεύθυνση Μεταφορών και Επικοινωνιών Π.Ε. Χαλκιδικής$11437
6$Διεύθυνση Τεχνικών Έργων Π.Ε. Χαλκιδικής$87
6$Υποδιεύθυνση Οικονομικού – Ανθρώπινων Πόρων Π.Ε. Χαλκιδικής$2048
6$Υποδιεύθυνση Τεχνικών Έργων Π.Ε. Χαλκιδικής$2621
